closure_fraction,demand_multiplier,distance_beta_per_km,method,metric,mean,sd,ci95_low,ci95_high,n
0.1,4.0,0.5,logit,energy_weighted_extra_distance_km,1.9656848585788804,0.6433319745037114,1.7082984633628364,2.2230712537949247,24
0.1,4.0,0.5,logit,max_capacity_utilization,0.9672566189964265,0.1601070027742553,0.9032004770260214,1.0313127609668316,24
0.1,4.0,0.5,nearest,served_fraction,0.8035819599182901,0.19786695735693446,0.7244186897796405,0.8827452300569396,24
0.1,4.0,0.5,nearest,rerouted_fraction,0.8680097031902191,0.07413646010268475,0.8383489417542149,0.8976704646262232,24
0.1,4.0,0.5,nearest,energy_weighted_extra_distance_km,1.5316962831435663,0.7921104758828353,1.2147860904586354,1.8486064758284972,24
0.1,4.0,0.5,nearest,max_capacity_utilization,0.988779733087736,0.05496785742576009,0.9667880099396987,1.0107714562357735,24
0.1,4.0,0.5,no_choice,served_fraction,0.26429441979810736,0.11453336864135097,0.21847152888818638,0.31011731070802834,24
0.1,4.0,0.5,no_choice,rerouted_fraction,0.0,0.0,0.0,0.0,24
0.1,4.0,0.5,no_choice,energy_weighted_extra_distance_km,0.0,0.0,0.0,0.0,24
0.1,4.0,0.5,no_choice,max_capacity_utilization,0.969222556176582,0.1507780659090956,0.9088987662826828,1.0295463460704812,24
0.1,4.0,1.0,coordinated,served_fraction,0.8035819599182901,0.19786695735693446,0.7244186897796405,0.8827452300569396,24
0.1,4.0,1.0,coordinated,rerouted_fraction,0.6718129217021499,0.09933835355136704,0.6320693029476063,0.7115565404566935,24
0.1,4.0,1.0,coordinated,energy_weighted_extra_distance_km,0.8680552792843613,0.6482903729064402,0.6086851115503915,1.1274254470183311,24
0.1,4.0,1.0,coordinated,max_capacity_utilization,0.9887797330877369,0.05496785742576029,0.9667880099396995,1.0107714562357744,24
0.1,4.0,1.0,logit,served_fraction,0.8035819599182901,0.1978669573569345,0.7244186897796405,0.8827452300569396,24
0.1,4.0,1.0,logit,rerouted_fraction,0.7517617526699016,0.0895734993428375,0.7159248892518738,0.7875986160879295,24
0.1,4.0,1.0,logit,energy_weighted_extra_distance_km,1.4633566679177046,0.6239843190267861,1.2137109470291403,1.7130023888062689,24
0.1,4.0,1.0,logit,max_capacity_utilization,0.9832102585083001,0.08225259913580192,0.9503023651845676,1.0161181518320326,24
0.1,4.0,1.0,nearest,served_fraction,0.8035819599182901,0.19786695735693446,0.7244186897796405,0.8827452300569396,24
0.1,4.0,1.0,nearest,rerouted_fraction,0.8680097031902191,0.07413646010268475,0.8383489417542149,0.8976704646262232,24
0.1,4.0,1.0,nearest,energy_weighted_extra_distance_km,1.5316962831435663,0.7921104758828353,1.2147860904586354,1.8486064758284972,24
0.1,4.0,1.0,nearest,max_capacity_utilization,0.988779733087736,0.05496785742576009,0.9667880099396987,1.0107714562357735,24
0.1,4.0,1.0,no_choice,served_fraction,0.26429441979810736,0.11453336864135097,0.21847152888818638,0.31011731070802834,24
