traffic_multiplier,power_threat,backup_duration_s,metric,mean,sd,ci95_low,ci95_high,n
0.5,0.7795591201968467,300.0,control_latency_p95_ms,168.90236545570636,51.84715151437959,154.53106826666487,183.27366264474784,50
0.5,0.7795591201968467,300.0,attempt_drop_fraction,0.0,0.0,0.0,0.0,50
0.5,0.7795591201968467,300.0,algebraic_support,1.0,0.0,1.0,1.0,50
0.5,0.8329233627577894,0.0,control_on_time_fraction,0.8090068048593051,0.15588347443357906,0.7657981102153189,0.8522154995032913,50
0.5,0.8329233627577894,0.0,control_delivery_fraction,1.0,0.0,1.0,1.0,50
0.5,0.8329233627577894,0.0,control_latency_p95_ms,800.1685880115475,490.76153837371726,664.1364298135453,936.2007462095497,50
0.5,0.8329233627577894,0.0,attempt_drop_fraction,0.0,0.0,0.0,0.0,50
0.5,0.8329233627577894,0.0,algebraic_support,1.0,0.0,1.0,1.0,50
0.5,0.8329233627577894,60.0,control_on_time_fraction,0.8992576114726809,0.08369565060642055,0.8760583607296298,0.922456862215732,50
0.5,0.8329233627577894,60.0,control_delivery_fraction,1.0,0.0,1.0,1.0,50
0.5,0.8329233627577894,60.0,control_latency_p95_ms,622.6749518828217,291.75419534853813,541.8048148543559,703.5450889112875,50
0.5,0.8329233627577894,60.0,attempt_drop_fraction,0.0,0.0,0.0,0.0,50
0.5,0.8329233627577894,60.0,algebraic_support,1.0,0.0,1.0,1.0,50
0.5,0.8329233627577894,300.0,control_on_time_fraction,0.9982213438735178,0.008804328701023526,0.9957809084664285,1.0006617792806072,50
0.5,0.8329233627577894,300.0,control_delivery_fraction,1.0,0.0,1.0,1.0,50
0.5,0.8329233627577894,300.0,control_latency_p95_ms,181.23450323351335,59.41641133095318,164.76511426608596,197.70389220094074,50
0.5,0.8329233627577894,300.0,attempt_drop_fraction,0.0,0.0,0.0,0.0,50
0.5,0.8329233627577894,300.0,algebraic_support,1.0,0.0,1.0,1.0,50
0.5,0.8798162352262834,0.0,control_on_time_fraction,0.7052774750761707,0.17992297021972517,0.6554053721614023,0.7551495779909391,50
0.5,0.8798162352262834,0.0,control_delivery_fraction,1.0,0.0,1.0,1.0,50
0.5,0.8798162352262834,0.0,control_latency_p95_ms,1174.93367888558,823.9355293227001,946.5504020680935,1403.3169557030667,50
0.5,0.8798162352262834,0.0,attempt_drop_fraction,0.0,0.0,0.0,0.0,50
0.5,0.8798162352262834,0.0,algebraic_support,1.0,0.0,1.0,1.0,50
0.5,0.8798162352262834,60.0,control_on_time_fraction,0.837601145670765,0.09951933191321195,0.8100157942444102,0.8651864970971199,50
0.5,0.8798162352262834,60.0,control_delivery_fraction,1.0,0.0,1.0,1.0,50
0.5,0.8798162352262834,60.0,control_latency_p95_ms,890.421851360077,853.1412791725662,653.9431537053468,1126.900549014807,50
0.5,0.8798162352262834,60.0,attempt_drop_fraction,0.0,0.0,0.0,0.0,50
0.5,0.8798162352262834,60.0,algebraic_support,1.0,0.0,1.0,1.0,50
0.5,0.8798162352262834,300.0,control_on_time_fraction,0.9989844683393071,0.005213704520944158,0.997539303177137,1.0004296335014773,50
0.5,0.8798162352262834,300.0,control_delivery_fraction,1.0,0.0,1.0,1.0,50
0.5,0.8798162352262834,300.0,control_latency_p95_ms,183.69398652565428,50.98025373296481,169.56298114214772,197.82499190916084,50
0.5,0.8798162352262834,300.0,attempt_drop_fraction,0.0,0.0,0.0,0.0,50
0.5,0.8798162352262834,300.0,algebraic_support,1.0,0.0,1.0,1.0,50
0.5,1.0,0.0,control_on_time_fraction,0.2838821501809601,0.1434687253597499,0.24411464841365282,0.32364965194826734,50
0.5,1.0,0.0,control_delivery_fraction,1.0,0.0,1.0,1.0,50
