forecast,condition,group,policy,mean_cost,q95,q99,es95,maximum_cost,positive_excess,worse_fraction,guard_acceptance,crew_completion_fraction,crew_mean_completion_h,crew_total_travel_h,communication_loss,raw_infeasible_hours,infeasible_hours,curtailed_energy_kwh
graph,zero_all_unsupported,published,protected_0.001,399.34868460020334,1363.9675148010253,2664.0593513488757,2052.591725885867,3513.7500915527344,0.08360090180940433,0.0068359375,0.060546875,0.8324798894928792,2.8438556172596696,1.7189453125,60.50934339070227,0,0,0.0
graph,zero_all_unsupported,independent,matched,384.6663116491061,1328.0123855590814,2599.486815795898,2006.0713026672595,3316.997772216797,0.0,0.0,0.0,0.8254440560643919,3.0069437064340727,1.7437174479166666,56.10410937537381,0,0,0.0
graph,zero_all_unsupported,independent,central,384.63027144270814,1328.0123855590814,2599.486815795898,2006.0181150585406,3316.997772216797,0.04458466342111955,0.046875,0.0,0.8262940076127141,3.006473654684216,1.7417643229166668,56.09462288249051,0,0,0.0
graph,zero_all_unsupported,independent,robust,384.6486836164702,1328.0123855590814,2599.486815795898,2005.1669794321053,3316.997772216797,0.14032781152127402,0.052734375,0.0,0.8269339050055411,2.9969209606652973,1.7417154947916667,56.13078678162128,0,0,0.0
graph,zero_all_unsupported,independent,protected_0.001,384.6296369651852,1328.0123855590814,2599.486815795898,2006.0713026672595,3316.997772216797,0.0,0.0,0.0048828125,0.8256162697375821,3.00501523894164,1.7439290364583333,56.09832448516681,0,0,0.0
graph,zero_all_unsupported,independent,observed,384.7499123183593,1328.0123855590814,2599.486815795898,2006.0181150585406,3316.997772216797,0.16892771398257567,0.0576171875,0.0,0.8259693059671275,3.007395467468071,1.7423828125,56.120649406904704,0,0,0.0
graph,nonlinear_ood,published,matched,379.5414127263183,1313.9101659774742,2563.343583068847,1973.9159326255315,3194.775115966797,0.0,0.0,0.0,0.8318868003988136,2.8532190356854805,1.7188151041666666,47.72845534895896,0,0,0.0
graph,nonlinear_ood,published,central,378.19951115371333,1304.706736850736,2559.8176278686515,1971.7763260230415,3194.775115966797,0.19290522140699684,0.0947265625,0.0,0.833625388307677,2.8345413002511872,1.7259765624999999,47.37794033330283,0,0,0.0
graph,nonlinear_ood,published,robust,378.580937811169,1304.2388852119418,2559.8176278686515,1969.735625110566,3194.775115966797,0.32672427129070397,0.1083984375,0.0,0.8340957259850457,2.842156258394258,1.7195963541666666,47.510152168077184,0,0,0.0
graph,nonlinear_ood,published,protected_0.001,378.6623754112269,1304.2388852119418,2559.8176278686515,1972.042860783636,3194.775115966797,0.046881420406861975,0.005859375,0.060546875,0.8324798894928792,2.8438556172596696,1.7189453125,47.50334843763267,0,0,0.0
graph,nonlinear_ood,independent,matched,368.02972420363716,1271.8604541778561,2498.955418548584,1939.8325239121907,3135.1688232421875,0.0,0.0,0.0,0.8254440560643919,3.0069437064340727,1.7437174479166666,44.98885547602549,0,0,0.0
graph,nonlinear_ood,independent,central,367.9603237645413,1271.8580677032467,2498.955418548584,1939.7621678411954,3135.1688232421875,0.0412749288834042,0.05078125,0.0,0.8262940076127141,3.006473654684216,1.7417643229166668,44.97465654187545,0,0,0.0
graph,nonlinear_ood,independent,robust,367.86730067686494,1271.8595981597896,2498.955418548584,1938.1936433315273,3135.1688232421875,0.05737866474136186,0.0537109375,0.0,0.8269339050055411,2.9969209606652973,1.7417154947916667,44.96957491595822,0,0,0.0
graph,nonlinear_ood,independent,protected_0.001,367.98349663150606,1271.8604541778561,2498.955418548584,1939.8325239121907,3135.1688232421875,0.0,0.0,0.0048828125,0.8256162697375821,3.00501523894164,1.7439290364583333,44.982456689031096,0,0,0.0
graph,nonlinear_ood,independent,observed,368.05794501809726,1271.8580677032467,2498.955418548584,1939.7621678411954,3135.1688232421875,0.14889785410790546,0.060546875,0.0,0.8259693059671275,3.007395467468071,1.7423828125,44.974529436280136,0,0,0.0
graph,electrical_stress,published,matched,7506.046493348476,35243.54943847652,56564.10286621094,47931.81470918654,66453.611328125,0.0,0.0,0.0,0.8319690026294533,2.8510861593420325,1.7187337239583331,552.9372239900986,128,0,6276.544977545738
graph,electrical_stress,published,central,7503.71817178506,35243.54943847652,56564.10286621094,47931.34340333937,66453.611328125,5.687278143098629,0.11328125,0.0,0.8342788618240781,2.821320005471221,1.7301595052083332,552.7471492588811,128,0,6306.1220499277115
graph,electrical_stress,published,robust,7503.654590448641,35243.54943847652,56564.10286621094,47932.42533731459,66453.611328125,3.850265783169219,0.1083984375,0.0,0.8345280748340709,2.8307545447907962,1.7224446614583333,552.7039188021736,129,0,6312.839018464088
graph,electrical_stress,published,protected_0.001,7503.5660349471855,35243.54943847652,56564.10286621094,47933.85316896437,66453.611328125,0.753628198988741,0.005859375,0.048828125,0.8325916845265492,2.8411466153391203,1.71982421875,552.6731565130176,128,0,6255.3846381902695
graph,electrical_stress,independent,matched,7445.985561159008,35104.93311767576,56542.41479492187,47794.36333036421,66624.1689453125,0.0,0.0,0.0,0.8254485771870771,3.0073263187412707,1.7432454427083333,544.6830463207152,131,0,6391.045449733734
graph,electrical_stress,independent,central,7445.639764795952,35104.93311767576,56542.41479492187,47791.14187097548,66624.1689453125,1.000227238667927,0.0732421875,0.0,0.8264913440235355,2.9970478675192123,1.7385904947916666,544.6833355834533,130,0,6345.80153465271
graph,electrical_stress,independent,robust,7443.330128629952,35104.93311767576,56542.41479492187,47777.32330179213,66651.265625,0.6817940108354699,0.080078125,0.0,0.8273958525291845,2.9913057897618502,1.7415852864583332,544.6803883031534,131,0,6408.630721569061
graph,electrical_stress,independent,protected_0.001,7445.78443345105,35104.93311767576,56542.41479492187,47794.36333036421,66624.1689453125,0.0,0.0,0.001953125,0.8255077627931376,3.006711898168354,1.74345703125,544.6694992354896,131,0,6391.045449733734
graph,electrical_stress,independent,observed,7445.464861774224,35104.93311767576,56542.41479492187,47794.998467922196,66624.1689453125,1.1853330643912297,0.0537109375,0.0,0.8260811010007975,3.005453906813521,1.7432779947916668,544.7903033554612,131,0,6373.739277839661
weekly,primary,published,matched,525.6656299363967,1654.0553245544427,2900.0726213073713,2351.9492734074583,3931.910400390625,0.0,0.0,0.0,0.8325066784762396,2.8442520406898835,1.7187825520833333,84.1442912259663,0,0,0.0
weekly,primary,published,central,525.1382948553238,1646.7390296936035,2900.0726213073713,2351.63800305128,3931.910400390625,0.6324310222342057,0.130859375,0.0,0.8347152819501646,2.8120938962200914,1.7250162760416667,84.00763622015438,0,0,0.0
weekly,primary,published,robust,525.5016608349154,1657.3716217041012,2900.0726213073713,2353.4808762073512,3951.008117675781,0.8285374018165784,0.1328125,0.0,0.8349095148526527,2.8256648438893444,1.7166829427083332,84.09152193987029,0,0,0.0
weekly,primary,published,protected_0.001,524.9622399456479,1646.7390296936035,2900.0726213073713,2350.81718212366,3931.910400390625,0.039890082068076135,0.01953125,0.0908203125,0.8335710545907289,2.831023047746398,1.7195475260416666,83.98472316697735,0,0,0.0
weekly,primary,independent,matched,498.81958591141296,1557.7771133422848,2779.7001489257805,2280.646452575921,3785.187744140625,0.0,0.0,0.0,0.8251216982299331,3.0084981138214957,1.7458170572916667,77.33745115643615,0,0,0.0
weekly,primary,independent,central,498.8088794376477,1557.7771133422848,2779.7001489257805,2280.583112806081,3785.187744140625,0.21520950080336546,0.099609375,0.0,0.8283099875124108,2.972075025027036,1.7410807291666668,77.33816399574062,0,0,0.0
weekly,primary,independent,robust,499.22526501395964,1557.7771133422848,2779.7001489257805,2284.3742099106303,3785.187744140625,0.6454212732748164,0.08984375,0.0,0.8281748822747665,2.9741738463637946,1.7404622395833333,77.46517681157275,0,0,0.0
weekly,primary,independent,protected_0.001,498.7354008943977,1557.7771133422848,2779.7001489257805,2280.5205407440653,3785.187744140625,0.02970152654084007,0.015625,0.0439453125,0.825831081848188,3.000591538861939,1.74423828125,77.32047173456158,0,0,0.0
weekly,primary,independent,observed,499.4963489432621,1557.7771133422848,2779.7001489257805,2280.7355510890475,3785.187744140625,0.8666117269197937,0.1201171875,0.0,0.8279024248745892,2.968013360402706,1.7425455729166668,77.46646096072072,0,0,0.0
weekly,matrix_scale_075,published,matched,526.7508935593177,1646.7390296936035,2900.0726213073713,2352.93855524063,3931.910400390625,0.0,0.0,0.0,0.8323270666022918,2.8415199834267364,1.7219726562500002,84.40043492354744,0,0,0.0
weekly,matrix_scale_075,published,central,529.5586154809698,1671.0732688903806,2907.220781707762,2360.1741240024558,3857.1326293945312,3.910267082193374,0.2333984375,0.0,0.8342317919158934,2.7881135878052854,1.7330240885416668,85.02426668992848,0,0,0.0
weekly,matrix_scale_075,published,robust,526.719588268709,1654.0044830322258,2900.0726213073713,2355.5435771346083,3869.608795166016,1.242108280462503,0.158203125,0.0,0.8348684481921981,2.7997064395998112,1.7285319010416667,84.34670414239736,0,0,0.0
weekly,matrix_scale_075,published,protected_0.001,526.770610065059,1646.7390296936035,2900.0726213073713,2351.825047194957,3869.608795166016,0.9146483989486925,0.0693359375,0.154296875,0.8335394673019972,2.8125630723707777,1.72158203125,84.3856333000731,0,0,0.0
weekly,matrix_scale_075,independent,matched,498.81958591141296,1557.7771133422848,2779.7001489257805,2280.646452575921,3785.187744140625,0.0,0.0,0.0,0.8251216982299331,3.0084981138214957,1.7458170572916667,77.33745115643615,0,0,0.0
