forecast,condition,group,policy,comparator,metric,n,proposed,reference,difference,ci_low,ci_high,scope
weekly,matrix_scale_125,independent,protected_0.001,central,q99,1024,2779.7001489257805,2779.7001489257805,0.0,-27.809646911620348,0.0,"Paired marginal bootstrap interval, exploratory tail endpoint"
weekly,matrix_scale_125,independent,protected_0.001,central,es95,1024,2280.646452575921,2280.665965050458,-0.019512474536895752,-1.9440256386995316,1.2869774773716924,"Paired marginal bootstrap interval, exploratory tail endpoint"
weekly,matrix_scale_125,independent,protected_0.001,central,maximum,1024,3785.187744140625,3785.187744140625,0.0,0.0,0.0,"Paired marginal bootstrap interval, exploratory tail endpoint"
weekly,matrix_noise_015,published,protected_0.001,central,q95,1024,1654.0553245544427,1654.0553245544427,0.0,-0.007405853271620799,4.4150238037109375,"Paired marginal bootstrap interval, exploratory tail endpoint"
weekly,matrix_noise_015,published,protected_0.001,central,q99,1024,2900.0726213073713,2900.0726213073713,0.0,0.0,0.0,"Paired marginal bootstrap interval, exploratory tail endpoint"
weekly,matrix_noise_015,published,protected_0.001,central,es95,1024,2350.6041947603217,2351.015520155429,-0.4113253951072693,-1.6293851658701897,0.522902500629424,"Paired marginal bootstrap interval, exploratory tail endpoint"
weekly,matrix_noise_015,published,protected_0.001,central,maximum,1024,3931.910400390625,3931.910400390625,0.0,0.0,0.0,"Paired marginal bootstrap interval, exploratory tail endpoint"
weekly,matrix_noise_015,independent,protected_0.001,central,q95,1024,1557.7771133422848,1557.7771133422848,0.0,0.0,0.14941261291497399,"Paired marginal bootstrap interval, exploratory tail endpoint"
weekly,matrix_noise_015,independent,protected_0.001,central,q99,1024,2779.7001489257805,2779.7001489257805,0.0,0.0,0.0,"Paired marginal bootstrap interval, exploratory tail endpoint"
weekly,matrix_noise_015,independent,protected_0.001,central,es95,1024,2280.646452575921,2280.62622603774,0.02022653818130493,-0.48131372779607773,0.498788058757782,"Paired marginal bootstrap interval, exploratory tail endpoint"
weekly,matrix_noise_015,independent,protected_0.001,central,maximum,1024,3785.187744140625,3785.187744140625,0.0,0.0,0.0,"Paired marginal bootstrap interval, exploratory tail endpoint"
weekly,expanded_unsupported,published,protected_0.001,central,q95,1024,1960.633391571044,1960.633391571044,0.0,-10.478731536864643,2.497575378417878,"Paired marginal bootstrap interval, exploratory tail endpoint"
weekly,expanded_unsupported,published,protected_0.001,central,q99,1024,3136.0124890136713,3136.0124890136713,0.0,-15.253604125976835,0.0,"Paired marginal bootstrap interval, exploratory tail endpoint"
weekly,expanded_unsupported,published,protected_0.001,central,es95,1024,2676.918335080146,2678.1406627297392,-1.2223276495933533,-4.355556675791297,1.363997459411621,"Paired marginal bootstrap interval, exploratory tail endpoint"
weekly,expanded_unsupported,published,protected_0.001,central,maximum,1024,4550.527587890625,4550.527587890625,0.0,0.0,0.0,"Paired marginal bootstrap interval, exploratory tail endpoint"
weekly,expanded_unsupported,independent,protected_0.001,central,q95,1024,1864.006433105469,1869.5329109191887,-5.526477813719794,-25.659929275509818,1.864221954346931,"Paired marginal bootstrap interval, exploratory tail endpoint"
weekly,expanded_unsupported,independent,protected_0.001,central,q99,1024,3095.952901611327,3095.952901611327,0.0,0.0,0.0,"Paired marginal bootstrap interval, exploratory tail endpoint"
weekly,expanded_unsupported,independent,protected_0.001,central,es95,1024,2595.332272827625,2595.385319590568,-0.05304676294326782,-2.3650564923882484,0.7000964641571039,"Paired marginal bootstrap interval, exploratory tail endpoint"
weekly,expanded_unsupported,independent,protected_0.001,central,maximum,1024,4420.95361328125,4420.95361328125,0.0,0.0,0.0,"Paired marginal bootstrap interval, exploratory tail endpoint"
weekly,zero_all_unsupported,published,protected_0.001,central,q95,1024,1384.113236618041,1384.1745586395252,-0.061322021484329525,-4.861774063109806,8.388283538818996,"Paired marginal bootstrap interval, exploratory tail endpoint"
weekly,zero_all_unsupported,published,protected_0.001,central,q99,1024,2644.0265701293933,2644.0265701293933,0.0,0.0,24.336639404296875,"Paired marginal bootstrap interval, exploratory tail endpoint"
weekly,zero_all_unsupported,published,protected_0.001,central,es95,1024,2055.908331289887,2055.6087181121106,0.29961317777633667,-1.0401356592774391,1.7691251486539827,"Paired marginal bootstrap interval, exploratory tail endpoint"
weekly,zero_all_unsupported,published,protected_0.001,central,maximum,1024,3427.5919799804688,3427.5919799804688,0.0,0.0,0.0,"Paired marginal bootstrap interval, exploratory tail endpoint"
weekly,zero_all_unsupported,independent,protected_0.001,central,q95,1024,1367.2843490600555,1367.2838249206513,0.0005241394042059255,-6.4849853515625e-05,0.0989532470703125,"Paired marginal bootstrap interval, exploratory tail endpoint"
weekly,zero_all_unsupported,independent,protected_0.001,central,q99,1024,2584.241070251465,2584.241070251465,0.0,0.0,0.0,"Paired marginal bootstrap interval, exploratory tail endpoint"
weekly,zero_all_unsupported,independent,protected_0.001,central,es95,1024,2013.7770626544946,2013.5983411073678,0.17872154712677002,0.016619481146335602,0.45231822133064215,"Paired marginal bootstrap interval, exploratory tail endpoint"
weekly,zero_all_unsupported,independent,protected_0.001,central,maximum,1024,3295.1925354003906,3295.1925354003906,0.0,0.0,0.0,"Paired marginal bootstrap interval, exploratory tail endpoint"
weekly,nonlinear_ood,published,protected_0.001,central,q95,1024,1330.343312263488,1330.343312263488,0.0,-5.876914024353482,12.073859405516941,"Paired marginal bootstrap interval, exploratory tail endpoint"
weekly,nonlinear_ood,published,protected_0.001,central,q99,1024,2548.70004333496,2548.70004333496,0.0,0.0,28.177162475585646,"Paired marginal bootstrap interval, exploratory tail endpoint"
weekly,nonlinear_ood,published,protected_0.001,central,es95,1024,1977.7799593955274,1977.1572848707433,0.6226745247840881,-0.5234504878520966,2.366571687161922,"Paired marginal bootstrap interval, exploratory tail endpoint"
weekly,nonlinear_ood,published,protected_0.001,central,maximum,1024,3134.0987548828125,3134.0987548828125,0.0,0.0,0.0,"Paired marginal bootstrap interval, exploratory tail endpoint"
weekly,nonlinear_ood,independent,protected_0.001,central,q95,1024,1315.038780593868,1315.038780593868,0.0,-0.01776580810565065,0.00360107421875,"Paired marginal bootstrap interval, exploratory tail endpoint"
weekly,nonlinear_ood,independent,protected_0.001,central,q99,1024,2499.150724029541,2499.150724029541,0.0,0.0,0.0,"Paired marginal bootstrap interval, exploratory tail endpoint"
weekly,nonlinear_ood,independent,protected_0.001,central,es95,1024,1949.6463140770788,1949.6251407191153,0.02117335796356201,-0.36498938500881195,0.37489012628793705,"Paired marginal bootstrap interval, exploratory tail endpoint"
weekly,nonlinear_ood,independent,protected_0.001,central,maximum,1024,3083.7684631347656,3083.7684631347656,0.0,0.0,0.0,"Paired marginal bootstrap interval, exploratory tail endpoint"
weekly,electrical_stress,published,protected_0.001,central,q95,1024,35205.79432373044,35205.79432373044,0.0,-0.2793212890646828,42.21051025390625,"Paired marginal bootstrap interval, exploratory tail endpoint"
weekly,electrical_stress,published,protected_0.001,central,q99,1024,56449.460219726556,56449.460219726556,0.0,-71.6240234375,219.23486328125,"Paired marginal bootstrap interval, exploratory tail endpoint"
weekly,electrical_stress,published,protected_0.001,central,es95,1024,47937.30414438246,47929.25368356703,8.050460815429688,-4.1505303382873535,22.942750573158264,"Paired marginal bootstrap interval, exploratory tail endpoint"
weekly,electrical_stress,published,protected_0.001,central,maximum,1024,66392.048828125,66392.048828125,0.0,0.0,0.0,"Paired marginal bootstrap interval, exploratory tail endpoint"
weekly,electrical_stress,independent,protected_0.001,central,q95,1024,35095.51058349608,35095.51058349608,0.0,-8.3814697265625,57.51279296874418,"Paired marginal bootstrap interval, exploratory tail endpoint"
weekly,electrical_stress,independent,protected_0.001,central,q99,1024,56471.97135742187,56471.97135742187,0.0,-15.815078125000582,15.9892578125,"Paired marginal bootstrap interval, exploratory tail endpoint"
weekly,electrical_stress,independent,protected_0.001,central,es95,1024,47824.567572116845,47821.52188920974,3.045682907104492,-0.40804028511047363,6.5856594085622415,"Paired marginal bootstrap interval, exploratory tail endpoint"
weekly,electrical_stress,independent,protected_0.001,central,maximum,1024,66559.9521484375,66536.8095703125,23.142578125,0.0,23.142578125,"Paired marginal bootstrap interval, exploratory tail endpoint"
